epochs,d_hidden,wd,noise_std,kernel_size,final_train_acc,final_val_acc
10,64,1.0,0.25,3,0.9773706896551724,0.9752999544143677
10,256,0.5,0.5,3,0.9547918911637931,0.9750999808311462
10,128,0.0,0.5,3,0.9543709590517241,0.97489994764328
10,128,0.1,0.5,3,0.9543541217672413,0.97489994764328
10,256,1.0,0.5,3,0.9549265894396551,0.9745999574661255
10,128,1.0,0.5,3,0.9548424030172413,0.9745999574661255
10,128,0.5,0.5,3,0.9545056573275862,0.9745999574661255
10,64,0.1,0.5,3,0.9539500269396551,0.974299967288971
10,64,0.0,0.5,3,0.9539163523706896,0.974299967288971
20,256,0.0,0.25,28,0.9754344019396551,0.9741999506950378
20,256,0.1,0.25,28,0.9752491918103449,0.9738999605178833
20,256,0.5,0.25,28,0.9742726293103449,0.9738999605178833
10,64,0.5,0.5,3,0.9539500269396551,0.973800003528595
5,128,0.0,0.0,3,0.9781283674568966,0.9735999703407288
20,256,0.0,0.0,28,0.9823882004310345,0.9734999537467957
20,256,0.0,0.5,28,0.9597083782327587,0.9732999801635742
5,128,0.1,0.0,3,0.9777747844827587,0.9731999635696411
20,256,0.1,0.0,28,0.9820682920258621,0.973099946975708
5,128,0.0,0.25,3,0.9726394127155172,0.9729999899864197
5,128,0.1,0.25,3,0.9724710398706896,0.9729999899864197
20,256,0.1,0.5,28,0.9595905172413793,0.9729999899864197
10,64,1.0,0.5,3,0.9538995150862069,0.9728999733924866
5,128,0.5,0.0,3,0.9773033405172413,0.9727999567985535
20,256,1.0,0.25,28,0.9729256465517241,0.9727999567985535
5,128,0.5,0.25,3,0.971612338362069,0.9726999998092651
20,256,0.5,0.5,28,0.9587991648706896,0.9724999666213989
20,256,0.5,0.0,28,0.9807718211206896,0.9723999500274658
5,128,1.0,0.0,3,0.9764109644396551,0.9722999930381775
5,128,1.0,0.25,3,0.9707199622844828,0.9721999764442444
20,256,1.0,0.0,28,0.9794585129310345,0.9717999696731567
5,256,0.1,0.5,3,0.9475013469827587,0.9714999794960022
5,256,0.0,0.5,3,0.9474003232758621,0.9714999794960022
20,256,1.0,0.5,28,0.957452182112069,0.97079998254776
5,256,0.5,0.5,3,0.9475013469827587,0.9706999659538269
20,128,0.0,0.25,28,0.9688678609913793,0.9703999757766724
20,128,0.1,0.25,28,0.9685984644396551,0.9699999690055847
5,256,1.0,0.5,3,0.9469793911637931,0.9695000052452087
5,128,0.0,0.5,3,0.9464237607758621,0.9693999886512756
20,128,0.5,0.25,28,0.9676555765086207,0.9692999720573425
5,128,0.1,0.5,3,0.9464742726293104,0.9692999720573425
5,128,0.5,0.5,3,0.9461038523706896,0.9688999652862549
20,128,0.0,0.5,28,0.9521484375,0.9685999751091003
20,128,0.0,0.0,28,0.9768318965517241,0.9684999585151672
